Kraft_RAW,Spænding_V
-0.00,925.53
-0.00,925.53
-0.00,925.53
-0.00,925.53
-0.00,925.53
-0.00,925.53
-0.00,936.17
-0.00,925.53
-0.00,936.17
0.85,925.53
2.62,936.17
4.65,936.17
4.55,936.17
5.11,936.17
5.97,946.81
6.95,936.17
8.15,936.17
8.62,936.17
8.90,946.81
9.89,936.17
10.37,936.17
10.70,936.17
10.96,936.17
11.30,946.81
11.94,936.17
12.63,957.45
13.28,946.81
13.78,946.81
14.26,936.17
15.74,946.81
16.12,957.45
16.66,946.81
17.67,946.81
19.04,957.45
20.04,957.45
20.60,957.45
21.53,957.45
21.88,957.45
22.20,957.45
22.61,946.81
23.23,957.45
23.64,957.45
24.17,957.45
24.67,957.45
25.25,957.45
26.06,957.45
26.36,957.45
26.75,957.45
26.99,968.09
27.26,968.09
27.83,968.09
28.04,957.45
28.56,957.45
28.87,957.45
29.07,957.45
29.55,968.09
30.04,968.09
30.37,968.09
30.45,968.09
30.90,968.09
31.39,968.09
32.30,968.09
32.72,968.09
33.04,968.09
33.30,968.09
33.79,968.09
34.15,968.09
34.26,968.09
34.95,968.09
35.27,968.09
35.69,957.45
36.37,978.72
36.93,968.09
37.14,968.09
37.43,968.09
37.81,968.09
38.15,978.72
38.38,978.72
38.44,968.09
38.71,968.09
39.25,978.72
39.79,978.72
40.50,978.72
40.74,978.72
41.02,978.72
41.55,968.09
42.27,978.72
43.04,978.72
43.78,978.72
43.75,978.72
44.10,978.72
44.20,989.36
44.58,978.72
45.46,978.72
46.20,978.72
46.69,989.36
47.01,978.72
47.24,978.72
47.21,978.72
47.54,978.72
47.66,989.36
47.94,978.72
49.18,989.36
49.19,978.72
49.36,978.72
49.65,989.36
49.80,989.36
50.09,989.36
51.65,989.36
52.26,989.36
52.68,1000.00
53.30,989.36
53.75,978.72
54.67,989.36
55.39,1000.00
55.71,989.36
57.20,989.36
57.95,1000.00
58.33,989.36
58.18,1000.00
58.59,1000.00
59.22,978.72
59.13,1000.00
59.26,1000.00
59.64,1000.00
59.93,989.36
60.48,989.36
61.03,1000.00
61.89,1000.00
62.21,1000.00
62.48,1000.00
63.18,1010.64
63.66,1000.00
63.90,1010.64
64.11,1010.64
64.37,1010.64
64.70,1000.00
64.62,1010.64
65.03,1010.64
66.07,1010.64
66.50,1000.00
67.16,1000.00
67.83,1010.64
68.01,1000.00
68.69,1000.00
68.96,1000.00
69.05,1000.00
69.41,1010.64
70.59,1021.28
71.29,1000.00
71.86,1010.64
72.29,1010.64
72.54,1010.64
72.69,1010.64
73.31,1010.64
74.14,1010.64
74.74,1021.28
75.96,1021.28
76.07,1010.64
76.44,1021.28
77.01,1021.28
77.44,1010.64
77.99,1021.28
78.94,1021.28
79.18,1021.28
79.68,1031.91
80.28,1031.91
80.99,1021.28
81.36,1021.28
82.01,1031.91
82.66,1021.28
82.91,1021.28
83.80,1021.28
85.45,1031.91
85.67,1031.91
86.17,1021.28
86.46,1021.28
87.23,1031.91
87.90,1021.28
88.31,1031.91
88.43,1031.91
88.51,1031.91
88.90,1031.91
89.52,1042.55
90.05,1031.91
90.48,1021.28
90.80,1031.91
91.12,1021.28
91.37,1021.28
91.91,1042.55
92.60,1031.91
93.70,1021.28
94.43,1042.55
94.61,1042.55
94.85,1031.91
94.98,1042.55
95.40,1042.55
95.83,1031.91
96.53,1042.55
96.71,1031.91
96.59,1042.55
96.97,1031.91
97.66,1031.91
97.90,1031.91
98.40,1042.55
98.80,1031.91
99.35,1031.91
100.37,1042.55
101.50,1042.55
101.65,1042.55
