Kraft_RAW,Spænding_V
0.00,202.13
0.00,180.85
0.00,180.85
0.00,180.85
-0.00,180.85
0.00,180.85
0.00,180.85
-0.00,191.49
0.00,191.49
0.00,180.85
0.00,180.85
0.00,191.49
0.00,180.85
0.00,191.49
0.00,191.49
0.00,180.85
0.00,180.85
-0.00,180.85
-0.00,180.85
0.00,191.49
0.00,180.85
0.00,191.49
0.00,191.49
0.00,191.49
0.00,191.49
0.00,180.85
0.00,191.49
0.00,180.85
0.00,180.85
0.00,191.49
0.00,191.49
0.00,180.85
0.00,191.49
0.00,191.49
0.00,180.85
0.00,180.85
-0.00,180.85
0.00,191.49
0.00,191.49
0.00,191.49
-0.00,191.49
0.00,180.85
0.00,180.85
0.00,191.49
0.00,180.85
0.00,180.85
0.00,191.49
0.00,191.49
0.00,180.85
0.00,180.85
0.00,180.85
0.00,180.85
0.00,191.49
-0.00,191.49
-0.00,191.49
0.00,180.85
0.00,180.85
0.00,170.21
0.00,191.49
0.00,180.85
0.00,180.85
0.00,191.49
0.00,191.49
0.00,180.85
0.00,180.85
0.00,180.85
0.00,180.85
0.00,180.85
0.00,180.85
0.00,180.85
0.00,180.85
0.00,191.49
0.00,180.85
0.00,180.85
0.00,180.85
0.00,180.85
0.00,191.49
0.00,180.85
0.00,180.85
0.00,180.85
0.00,191.49
0.00,191.49
0.00,212.77
0.00,191.49
0.00,180.85
0.00,191.49
0.00,180.85
0.00,180.85
0.00,191.49
0.00,180.85
0.00,191.49
0.00,180.85
0.00,180.85
0.00,180.85
-0.00,191.49
0.00,180.85
0.00,180.85
0.00,191.49
0.00,180.85
0.00,191.49
0.00,191.49
0.00,180.85
0.00,191.49
0.00,180.85
0.00,180.85
0.00,180.85
0.00,180.85
0.00,180.85
0.00,180.85
0.00,180.85
0.00,191.49
0.00,180.85
0.00,180.85
0.00,191.49
0.00,191.49
0.00,191.49
-0.00,180.85
0.00,180.85
0.00,191.49
0.00,180.85
0.00,180.85
0.00,191.49
0.00,191.49
0.00,191.49
0.00,191.49
0.00,191.49
0.00,180.85
0.00,191.49
0.00,180.85
0.00,180.85
0.00,191.49
0.00,180.85
0.00,191.49
0.00,191.49
0.00,191.49
0.00,191.49
0.00,180.85
0.00,180.85
0.00,180.85
0.00,191.49
0.00,191.49
0.00,191.49
0.00,180.85
0.00,191.49
0.00,191.49
0.00,180.85
0.00,191.49
0.00,191.49
0.00,191.49
0.00,180.85
0.00,180.85
0.00,180.85
0.00,180.85
0.00,191.49
0.00,191.49
0.00,180.85
0.00,191.49
0.00,180.85
0.00,180.85
0.00,191.49
0.00,191.49
0.00,191.49
0.00,191.49
0.00,191.49
0.00,191.49
0.00,180.85
0.00,191.49
0.00,191.49
0.00,191.49
0.00,191.49
0.00,191.49
0.00,191.49
0.00,191.49
0.00,180.85
0.00,180.85
0.00,180.85
0.00,180.85
0.00,191.49
0.00,191.49
0.00,191.49
0.00,191.49
0.00,180.85
0.00,180.85
0.00,191.49
0.00,191.49
0.00,191.49
0.00,180.85
0.00,191.49
0.00,191.49
0.00,191.49
0.00,191.49
0.00,191.49
0.00,191.49
0.00,180.85
0.00,191.49
0.00,180.85
0.00,191.49
0.00,191.49
