Kraft_RAW,Spænding_V
-0.00,1968.09
0.00,1968.09
0.00,1957.45
0.00,1957.45
0.00,1957.45
0.00,1957.45
0.00,1957.45
0.00,1957.45
0.00,1957.45
0.00,1957.45
0.00,1968.09
0.00,1968.09
0.00,1957.45
0.00,1968.09
0.00,1957.45
0.00,1957.45
0.00,1968.09
0.00,1957.45
0.00,1712.77
0.00,1329.79
0.00,936.17
0.00,468.09
0.00,425.53
0.00,425.53
0.00,351.06
0.00,329.79
0.00,329.79
0.00,319.15
0.00,319.15
0.00,340.43
0.00,319.15
0.00,329.79
0.00,319.15
0.00,329.79
0.00,319.15
0.00,319.15
0.00,319.15
0.00,319.15
0.00,319.15
0.00,329.79
0.00,319.15
0.00,319.15
0.00,329.79
0.00,329.79
0.00,319.15
0.00,329.79
0.00,329.79
0.00,329.79
0.00,329.79
0.00,329.79
0.00,329.79
0.00,329.79
0.00,329.79
0.00,319.15
0.00,329.79
0.00,329.79
0.00,329.79
0.00,319.15
0.00,329.79
0.00,329.79
0.00,329.79
0.00,329.79
0.00,329.79
0.00,319.15
0.00,319.15
0.00,329.79
0.00,319.15
0.00,329.79
0.00,319.15
0.00,329.79
0.00,319.15
0.00,329.79
-0.00,329.79
0.00,329.79
-0.00,319.15
-0.00,319.15
0.00,329.79
0.00,319.15
0.00,329.79
0.00,329.79
0.00,319.15
0.00,319.15
0.00,319.15
0.00,319.15
0.00,319.15
0.00,329.79
0.00,329.79
0.00,329.79
0.00,319.15
0.00,329.79
0.00,329.79
0.00,329.79
-0.00,329.79
0.00,319.15
0.00,319.15
0.00,329.79
0.00,319.15
0.00,319.15
0.00,319.15
0.00,319.15
0.00,329.79
0.00,319.15
-0.00,329.79
0.00,329.79
0.00,329.79
0.00,319.15
0.00,329.79
0.00,329.79
0.00,319.15
0.00,319.15
-0.00,319.15
0.00,329.79
0.00,319.15
0.00,329.79
