Kraft_RAW,Spænding_V
0.00,500.00
0.00,500.00
0.00,510.64
0.00,510.64
-0.00,510.64
0.00,510.64
0.00,510.64
0.00,510.64
0.00,510.64
0.36,510.64
2.24,542.55
4.35,531.91
5.45,553.19
6.09,542.55
6.59,542.55
7.03,542.55
7.44,542.55
7.90,542.55
7.96,542.55
7.88,531.91
7.85,542.55
8.56,553.19
9.40,553.19
10.29,563.83
10.96,574.47
11.63,563.83
12.34,574.47
12.86,585.11
13.45,585.11
14.07,574.47
14.73,585.11
15.46,585.11
16.22,595.74
16.83,595.74
17.29,606.38
17.93,606.38
18.34,606.38
18.63,617.02
19.17,606.38
19.58,617.02
20.20,617.02
20.47,627.66
20.55,627.66
20.94,627.66
21.30,627.66
21.71,627.66
22.36,627.66
23.00,627.66
23.66,638.30
24.49,638.30
25.29,638.30
25.72,648.94
26.12,659.57
26.44,648.94
26.09,648.94
25.97,648.94
26.05,648.94
26.34,659.57
26.51,659.57
26.79,670.21
27.14,659.57
27.58,659.57
27.94,670.21
28.31,659.57
28.74,659.57
29.06,680.85
29.49,670.21
29.88,670.21
30.29,680.85
30.72,680.85
31.00,680.85
31.28,680.85
31.67,680.85
32.15,680.85
32.67,680.85
33.05,691.49
33.49,691.49
33.94,702.13
34.49,702.13
35.16,702.13
35.69,712.77
36.29,723.40
36.96,723.40
37.56,723.40
38.20,734.04
38.85,734.04
39.66,734.04
40.58,744.68
41.34,755.32
41.93,744.68
42.43,755.32
43.01,755.32
43.61,765.96
44.28,765.96
44.82,765.96
44.79,755.32
44.70,765.96
45.56,776.60
46.60,787.23
47.28,797.87
48.10,797.87
48.88,797.87
49.62,808.51
50.34,808.51
51.15,819.15
52.00,829.79
52.79,829.79
53.68,829.79
54.63,840.43
55.38,851.06
56.17,851.06
56.87,851.06
57.51,861.70
58.25,861.70
59.02,861.70
59.17,872.34
59.11,851.06
59.52,872.34
60.32,872.34
61.33,882.98
62.33,893.62
63.18,893.62
63.92,904.26
64.62,893.62
65.14,904.26
65.73,914.89
66.16,914.89
66.78,925.53
67.55,925.53
67.59,925.53
67.52,925.53
68.16,936.17
69.16,946.81
70.05,946.81
70.73,946.81
71.37,957.45
72.21,957.45
72.95,968.09
73.47,968.09
74.04,968.09
74.68,978.72
75.27,989.36
75.87,989.36
76.49,989.36
76.93,989.36
77.50,1000.00
77.92,1000.00
78.38,1000.00
78.74,1000.00
79.22,1000.00
79.78,1010.64
80.47,1021.28
81.09,1021.28
81.52,1021.28
81.58,1021.28
82.70,1042.55
83.70,1042.55
84.49,1053.19
85.35,1053.19
86.28,1063.83
86.97,1074.47
87.83,1074.47
88.70,1085.11
89.67,1085.11
90.52,1095.74
91.72,1106.38
92.46,1106.38
93.37,1117.02
94.09,1117.02
94.60,1117.02
95.31,1117.02
95.97,1138.30
96.69,1138.30
97.79,1148.94
98.93,1148.94
99.77,1159.57
100.92,1170.21
101.90,1170.21
102.97,1180.85
103.52,1180.85
103.56,1170.21
103.51,1170.21
103.47,1180.85
