Kraft_RAW,Spænding_V
-0.00,1510.64
-0.00,1489.36
-0.00,1489.36
-0.00,1500.00
-0.00,1500.00
-0.00,1500.00
-0.00,1500.00
-0.00,1489.36
-0.00,1500.00
-0.00,1500.00
-0.00,1500.00
-0.00,1500.00
-0.00,1489.36
0.00,1489.36
-0.00,1489.36
-0.00,1500.00
-0.00,1500.00
-0.00,1500.00
-0.00,1489.36
-0.00,1500.00
-0.00,1500.00
-0.00,1500.00
0.00,1500.00
-0.00,1500.00
-0.00,1489.36
-0.00,1500.00
-0.00,1500.00
0.00,1500.00
-0.00,1500.00
-0.00,1500.00
-0.00,1500.00
-0.00,1500.00
-0.00,1500.00
0.00,1500.00
-0.00,1500.00
-0.00,1500.00
-0.00,1500.00
-0.00,1500.00
0.00,1500.00
0.51,1500.00
1.00,1489.36
1.32,1500.00
1.45,1500.00
1.46,1500.00
1.44,1500.00
2.15,1500.00
2.90,1489.36
3.63,1500.00
4.28,1500.00
4.77,1489.36
5.16,1489.36
5.61,1489.36
6.15,1489.36
6.61,1489.36
7.06,1489.36
7.45,1489.36
7.93,1478.72
8.38,1478.72
8.83,1478.72
9.30,1478.72
9.68,1478.72
10.11,1478.72
10.50,1478.72
10.67,1478.72
10.62,1478.72
11.20,1478.72
11.99,1478.72
12.48,1468.09
12.87,1468.09
13.09,1478.72
13.56,1468.09
14.03,1468.09
14.49,1468.09
15.12,1468.09
15.68,1457.45
16.17,1457.45
16.65,1457.45
17.00,1468.09
17.51,1457.45
17.94,1457.45
18.34,1457.45
18.72,1457.45
19.09,1457.45
19.40,1457.45
19.75,1468.09
20.29,1457.45
20.78,1457.45
21.31,1446.81
21.77,1457.45
22.23,1457.45
22.53,1446.81
22.78,1446.81
23.10,1446.81
23.11,1446.81
23.19,1446.81
22.95,1457.45
23.12,1446.81
23.65,1446.81
24.26,1436.17
24.67,1436.17
25.07,1436.17
25.41,1446.81
25.79,1436.17
26.18,1436.17
26.60,1425.53
27.14,1425.53
27.44,1425.53
27.82,1425.53
28.27,1436.17
28.68,1425.53
29.11,1414.89
29.53,1425.53
29.96,1425.53
30.58,1414.89
31.05,1414.89
31.06,1414.89
31.01,1425.53
31.21,1414.89
31.66,1425.53
32.24,1414.89
32.90,1404.26
33.33,1404.26
33.63,1414.89
34.05,1414.89
34.51,1404.26
34.92,1404.26
35.48,1404.26
35.93,1393.62
36.61,1393.62
37.29,1393.62
37.89,1393.62
38.33,1382.98
38.89,1393.62
38.85,1393.62
39.14,1382.98
39.89,1382.98
40.43,1382.98
40.96,1382.98
41.51,1382.98
42.20,1372.34
42.73,1372.34
43.24,1372.34
43.75,1361.70
44.37,1372.34
44.91,1361.70
45.47,1361.70
46.00,1361.70
46.70,1351.06
47.37,1351.06
47.81,1351.06
48.31,1351.06
48.67,1351.06
48.79,1351.06
48.69,1351.06
48.73,1351.06
49.00,1351.06
49.65,1340.43
50.35,1340.43
50.85,1340.43
51.34,1340.43
51.58,1340.43
52.00,1340.43
52.56,1329.79
53.04,1329.79
53.50,1329.79
54.08,1319.15
54.70,1319.15
55.39,1319.15
55.93,1319.15
56.48,1308.51
57.07,1319.15
57.15,1319.15
57.07,1329.79
57.11,1319.15
57.98,1308.51
58.84,1297.87
59.54,1297.87
60.07,1308.51
60.40,1308.51
60.65,1297.87
61.10,1297.87
61.56,1297.87
62.19,1287.23
62.71,1276.60
63.17,1276.60
63.41,1287.23
63.29,1287.23
63.49,1276.60
64.70,1265.96
65.69,1276.60
66.46,1265.96
67.14,1255.32
67.65,1255.32
68.10,1255.32
68.75,1255.32
69.43,1255.32
70.11,1244.68
70.76,1244.68
70.76,1255.32
70.88,1244.68
71.99,1234.04
73.20,1234.04
74.25,1223.40
75.09,1223.40
76.08,1212.77
76.87,1212.77
77.62,1212.77
78.16,1202.13
78.76,1202.13
79.28,1202.13
80.12,1191.49
81.03,1180.85
81.86,1191.49
81.68,1191.49
81.52,1191.49
81.81,1191.49
82.79,1180.85
83.95,1170.21
84.99,1170.21
85.74,1170.21
86.33,1159.57
86.96,1148.94
87.80,1148.94
88.77,1148.94
89.75,1138.30
90.54,1138.30
91.41,1138.30
92.32,1127.66
93.06,1127.66
93.02,1127.66
93.10,1127.66
93.46,1127.66
94.37,1117.02
95.26,1106.38
96.10,1117.02
96.91,1095.74
97.60,1106.38
98.48,1095.74
99.51,1095.74
100.34,1085.11
100.96,1085.11
100.89,1085.11
100.77,1085.11
100.71,1085.11
100.67,1085.11
100.64,1085.11
100.61,1095.74
100.59,1095.74
100.57,1085.11
100.55,1085.11
100.53,1095.74
100.51,1085.11
100.50,1085.11
100.48,1085.11
100.47,1095.74
100.46,1085.11
