Kraft_RAW,Spænding_V
-0.00,1585.11
-0.00,1585.11
0.00,1585.11
-0.00,1585.11
0.00,1585.11
0.00,1574.47
-0.00,1585.11
-0.00,1585.11
-0.00,1574.47
0.00,1585.11
0.00,1574.47
0.00,1585.11
-0.00,1585.11
0.00,1574.47
0.00,1585.11
-0.00,1585.11
0.00,1585.11
0.00,1585.11
-0.00,1585.11
0.00,1585.11
0.00,1595.74
0.00,1585.11
0.00,1574.47
-0.00,1595.74
-0.00,1585.11
0.00,1585.11
0.00,1585.11
-0.00,1585.11
0.00,1585.11
0.00,1585.11
0.00,1574.47
-0.00,1574.47
0.00,1585.11
0.07,1563.83
2.16,1595.74
3.96,1595.74
4.52,1595.74
5.08,1595.74
5.80,1595.74
5.94,1595.74
5.80,1595.74
6.41,1574.47
7.54,1542.55
8.32,1531.92
8.79,1531.92
9.22,1531.92
9.79,1542.55
10.24,1542.55
10.79,1553.19
11.43,1563.83
11.87,1574.47
12.34,1585.11
12.93,1574.47
13.61,1553.19
14.17,1553.19
14.67,1531.92
15.20,1510.64
15.89,1500.00
16.56,1500.00
17.32,1510.64
18.08,1521.28
18.98,1531.92
19.24,1531.92
19.78,1542.55
21.17,1521.28
22.12,1489.36
22.90,1478.72
23.54,1468.09
24.10,1478.72
24.64,1478.72
25.21,1489.36
25.72,1500.00
26.31,1510.64
26.65,1521.28
27.10,1521.28
27.34,1510.64
27.60,1510.64
28.02,1500.00
28.42,1489.36
28.76,1468.09
29.08,1468.09
29.49,1457.45
29.81,1457.45
30.31,1436.17
30.91,1436.17
31.47,1446.81
31.89,1457.45
32.32,1446.81
32.80,1468.09
33.26,1468.09
33.64,1478.72
33.97,1478.72
34.04,1478.72
34.04,1468.09
35.27,1446.81
36.01,1436.17
36.52,1425.53
37.09,1425.53
37.65,1404.26
38.16,1404.26
38.39,1414.89
38.80,1414.89
38.99,1404.26
38.98,1404.26
39.37,1414.89
39.83,1425.53
40.41,1436.17
41.11,1446.81
41.68,1425.53
42.32,1436.17
42.58,1425.53
42.46,1425.53
42.84,1393.62
43.88,1372.34
44.80,1361.70
45.61,1372.34
46.19,1382.98
47.10,1393.62
48.07,1393.62
48.82,1382.98
49.85,1372.34
50.44,1361.70
51.21,1329.79
51.90,1329.79
51.87,1340.43
52.18,1329.79
53.20,1351.06
53.87,1351.06
54.46,1361.70
54.99,1351.06
55.42,1361.70
55.73,1361.70
56.22,1351.06
56.51,1351.06
56.75,1340.43
57.09,1340.43
57.37,1329.79
57.69,1308.51
58.13,1308.51
58.63,1297.87
59.10,1297.87
59.40,1297.87
59.76,1287.23
60.17,1308.51
60.41,1308.51
60.74,1319.15
61.39,1319.15
62.03,1329.79
62.51,1319.15
62.88,1319.15
63.19,1319.15
63.42,1308.51
63.69,1308.51
64.08,1287.23
64.60,1287.23
64.99,1276.60
64.80,1287.23
64.61,1287.23
65.06,1265.96
66.56,1265.96
67.64,1265.96
68.56,1276.60
69.35,1276.60
69.86,1276.60
70.57,1276.60
71.14,1255.32
71.89,1234.04
72.46,1212.77
72.83,1223.40
73.14,1212.77
73.67,1212.77
74.08,1212.77
74.46,1223.40
74.98,1223.40
75.27,1223.40
75.20,1223.40
75.46,1234.04
76.71,1234.04
77.43,1234.04
77.87,1223.40
78.55,1212.77
79.24,1191.49
79.82,1180.85
80.31,1191.49
80.43,1180.85
80.75,1170.21
81.18,1170.21
81.60,1180.85
82.33,1191.49
82.94,1202.13
83.37,1191.49
83.79,1191.49
84.60,1180.85
85.30,1180.85
85.35,1180.85
85.37,1180.85
85.87,1148.94
87.21,1138.30
88.20,1127.66
89.33,1148.94
90.49,1159.57
91.57,1148.94
92.24,1138.30
92.89,1127.66
93.67,1106.38
94.69,1106.38
95.33,1085.11
96.40,1095.74
97.02,1106.38
97.81,1106.38
98.68,1117.02
99.63,1085.11
100.83,1063.83
101.84,1063.83
101.94,1053.19
101.86,1053.19
101.80,1053.19
101.76,1053.19
101.72,1042.55
101.70,1053.19
101.67,1053.19
101.65,1053.19
101.63,1063.83
